Year,Month , Domestic Consumption (million gallons),Domestic Cost (million gallons),Domestic Cost per Gallon(million dollars),"
International Consumption (million gallons)",Internationa lCost (million gallons),International Cost per Gallon(million dollars),"
Total Consumption (million gallons)",Total Cost (million dollars),Total Cost per Gallon (dollars)
2000,January,"1,194.00",842,0.71,414.3,336.6,0.81,"1,608.30","1,178.60",0.73
2000,February,"1,157.60",851.1,0.74,402.3,329.8,0.82,"1,559.90","1,180.90",0.76
2000,March,"1,251.60",940.2,0.75,434.5,360.1,0.83,"1,686.10","1,300.30",0.77
2000,April,"1,220.30",905.6,0.74,444.1,368.5,0.83,"1,664.40","1,274.10",0.77
2000,May,"1,250.70",898.9,0.72,469.5,367.2,0.78,"1,720.10","1,266.20",0.74
2000,June,"1,261.70",876.7,0.69,484.4,375.8,0.78,"1,746.10","1,252.50",0.72
2000,July,"1,296.90",994.2,0.77,498.2,404.6,0.81,"1,795.10","1,398.80",0.78
2000,August,"1,311.80","1,035.30",0.79,502.9,430.5,0.86,"1,814.60","1,465.70",0.81
2000,September,"1,174.80","1,008.20",0.86,477,451.3,0.95,"1,651.80","1,459.50",0.88
2000,October,"1,274.70","1,136.20",0.89,482.5,460.5,0.95,"1,757.10","1,596.70",0.91
2000,November,"1,227.90","1,087.90",0.89,445,422.6,0.95,"1,672.90","1,510.40",0.9
2000,December,"1,243.40","1,132.10",0.91,453.2,431.7,0.95,"1,696.60","1,563.80",0.92
,,,,,,,,,,
2001,January,"1,226.70","1,051.80",0.86,442.6,395.6,0.89,"1,669.30","1,447.50",0.87
2001,February,"1,136.70",962,0.85,412.6,360.8,0.87,"1,549.30","1,322.80",0.85
2001,March,"1,258.90","1,001.50",0.8,475,407.4,0.86,"1,733.90","1,408.80",0.81
2001,April,"1,193.20",925,0.78,462.6,374.8,0.81,"1,655.90","1,299.80",0.78
2001,May,"1,243.30","1,007.40",0.81,481.6,398.3,0.83,"1,725.00","1,405.80",0.81
2001,June,"1,253.00","1,011.70",0.81,481.6,400.7,0.83,"1,734.60","1,412.40",0.81
2001,July,"1,279.30",991,0.77,497.8,408.3,0.82,"1,777.10","1,399.30",0.79
2001,August,"1,314.90","1,006.60",0.77,505.7,404.5,0.8,"1,820.50","1,411.20",0.78
2001,September,934,742.9,0.8,404.4,324,0.8,"1,338.40","1,066.90",0.8
2001,October,"1,009.30",716.6,0.71,396.7,309.6,0.78,"1,406.00","1,026.20",0.73
2001,November,985.4,650.9,0.66,385.2,283,0.73,"1,370.60",933.9,0.68
2001,December,"1,033.10",588.8,0.57,389.8,268.5,0.69,"1,422.90",857.3,0.6
,,,,,,,,,,
,,,,,,,,,,
2002,January,"1,031.30",618.8,0.6,383.7,258.9,0.67,"1,415.00",877.6,0.62
2002,February,958.4,591.3,0.62,366.4,239.2,0.65,"1,324.80",830.6,0.63
2002,March,"1,095.60",676.7,0.62,416.6,272.5,0.65,"1,512.20",949.3,0.63
2002,April,"1,057.40",733,0.69,400.3,282.5,0.71,"1,457.60","1,015.50",0.7
2002,May,"1,091.90",765,0.7,421.6,305.1,0.72,"1,513.40","1,070.10",0.71
2002,June,"1,112.90",744.6,0.67,431.1,309.7,0.72,"1,544.00","1,054.30",0.68
2002,July,"1,160.30",820.6,0.71,457.8,339.5,0.74,"1,618.10","1,160.10",0.72
2002,August,"1,158.70",837.9,0.72,456.8,346.3,0.76,"1,615.50","1,184.20",0.73
2002,September,"1,025.80",788.2,0.77,432.7,342,0.79,"1,458.50","1,130.20",0.77
2002,October,"1,113.50",902.5,0.81,456.3,396.1,0.87,"1,569.80","1,298.60",0.83
2002,November,"1,045.00",804.2,0.77,429.1,354.8,0.83,"1,474.00","1,159.10",0.79
2002,December,"1,071.50",816.7,0.76,426.8,346,0.81,"1,498.30","1,162.70",0.78
,,,,,,,,,,
,,,,,,,,,,
2003,January,"1,079.70",903.5,0.84,445.2,401.2,0.9,"1,524.90","1,304.70",0.86
2003,February,977.2,866.8,0.89,393,374.4,0.95,"1,370.20","1,241.20",0.91
2003,March,"1,115.40","1,101.10",0.99,461.4,448.7,0.97,"1,576.80","1,549.80",0.98
2003,April,"1,048.80",872.1,0.83,415.2,383,0.92,"1,464.10","1,255.10",0.86
2003,May,"1,080.60",823.7,0.76,429.9,319.5,0.74,"1,510.50","1,143.20",0.76
2003,June,"1,092.90",821.5,0.75,417.3,338,0.81,"1,510.20","1,159.60",0.77
2003,July,"1,158.30",906.5,0.78,448.9,369.8,0.82,"1,607.20","1,276.30",0.79
2003,August,"1,157.90",959.4,0.83,461.6,394.5,0.85,"1,619.40","1,353.90",0.84
2003,September,"1,047.00",841.6,0.8,444.5,367.8,0.83,"1,491.50","1,209.40",0.81
2003,October,"1,116.40",912.4,0.82,447.9,390,0.87,"1,564.30","1,302.40",0.83
2003,November,"1,065.80",899.6,0.84,427.1,383.8,0.9,"1,493.00","1,283.40",0.86
2003,December,"1,141.70","1,006.70",0.88,426.9,401.7,0.94,"1,568.50","1,408.40",0.9
,,,,,,,,,,
,,,,,,,,,,
2004,January,"1,118.80","1,064.80",0.95,428.7,430,1,"1,547.50","1,494.80",0.97
2004,February,"1,087.30","1,055.00",0.97,415.1,424.4,1.02,"1,502.40","1,479.40",0.98
2004,March,"1,202.30","1,181.30",0.98,447,471.5,1.05,"1,649.30","1,652.80",1
2004,April,"1,154.10","1,157.30",1,448.4,465.5,1.04,"1,602.50","1,622.80",1.01
2004,May,"1,177.20","1,273.50",1.08,466.5,520.8,1.12,"1,643.70","1,794.30",1.09
2004,June,"1,193.10","1,280.90",1.07,479.8,545.6,1.14,"1,672.90","1,826.50",1.09
2004,July,"1,240.90","1,382.60",1.11,505.6,581.3,1.15,"1,746.50","1,963.90",1.12
2004,August,"1,243.40","1,466.60",1.18,503.7,619.6,1.23,"1,747.10","2,086.10",1.19
2004,September,"1,116.90","1,387.80",1.24,470.6,613.5,1.3,"1,587.50","2,001.20",1.26
