Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,67.88,72.85,70.01
2002,11,66.62,69.86,68
2002,12,72.88,73.42,73.11
2002,TOTAL,70.37,75.6,72.61
2003,1,64.4,72.5,67.9
2003,2,68.1,68.89,68.43
2003,3,72.43,69.36,71.14
2003,4,72.13,66.78,69.97
2003,5,73.98,72.42,73.35
2003,6,78.58,80.01,79.18
2003,7,80.98,81.56,81.23
2003,8,78.74,82.39,80.31
2003,9,66.93,75.17,70.51
2003,10,71.47,74.5,72.75
2003,11,70.45,74.78,72.26
2003,12,72.52,77.24,74.49
2003,TOTAL,72.68,74.84,73.59
2004,1,65.28,75.02,69.41
2004,2,68.6,71.49,69.79
2004,3,75.13,78.37,76.46
2004,4,76.17,77.42,76.69
2004,5,74.41,77.44,75.7
2004,6,80.72,83.66,81.99
2004,7,82.2,83.48,82.76
2004,8,78.74,81.91,80.12
2004,9,70.39,76.74,73.19
2004,10,74.23,76.38,75.14
2004,11,73.21,74.05,73.56
2004,12,72.74,75.5,73.91
2004,TOTAL,74.46,77.81,75.89
2005,1,69.77,75.95,72.47
2005,2,71.58,72.23,71.86
2005,3,79.58,80.31,79.89
2005,4,76.64,76.92,76.76
2005,5,77.52,79.39,78.34
2005,6,82.27,84.5,83.25
2005,7,83.94,84.51,84.19
2005,8,80.34,82.16,81.15
2005,9,74.12,77.66,75.72
2005,10,75.94,75.99,75.96
2005,11,76.53,75.48,76.08
2005,12,75.81,76.49,76.11
2005,TOTAL,77.16,78.67,77.82
2006,1,72.68,76.03,74.17
2006,2,76.07,71.68,74.13
2006,3,81.31,78.93,80.27
2006,4,81.34,79.11,80.34
2006,5,80.39,78.95,79.73
2006,6,84.56,84.92,84.73
2006,7,84.95,84.88,84.92
2006,8,80.9,81.73,81.28
2006,9,73.78,76.83,75.23
2006,10,77.5,75.29,76.5
2006,11,77.98,75.87,77.05
2006,12,76.57,76.75,76.65
2006,TOTAL,79.11,78.61,78.88
2007,1,72.3,75.56,73.77
2007,2,75.71,72.04,74.06
2007,3,81.57,80.23,80.97
2007,4,81.38,78.71,80.17
2007,5,81.27,78.97,80.22
2007,6,86.24,84.15,85.27
2007,7,86.24,84.86,85.6
2007,8,84.89,82.95,83.98
2007,9,75.61,78.04,76.76
2007,10,78.45,77.71,78.12
2007,11,77.66,76.79,77.27
2007,12,75.6,77.05,76.26
2007,TOTAL,79.87,79.13,79.53
2008,1,72.95,75.84,74.29
2008,2,75.91,71.14,73.7
2008,3,82.19,79.96,81.17
2008,4,80.09,75.37,77.85
2008,5,81.34,77.96,79.73
2008,6,84.24,81.55,82.95
2008,7,84.11,83.01,83.58
2008,8,83.35,82.37,82.88
2008,9,76.07,74.7,75.39
2008,10,79.76,75.68,77.8
2008,11,75.89,73.99,74.99
2008,12,79.17,76.55,77.91
2008,TOTAL,79.74,77.54,78.69
2009,1,72.82,73.52,73.16
2009,2,75.28,68.77,72.21
2009,3,81.08,73.79,77.65
2009,4,82.1,76.45,79.38
2009,5,81.32,75.51,78.53
2009,6,85.37,80.64,83.09
2009,7,87.09,83.85,85.51
2009,8,84.97,84.56,84.77
2009,9,79.42,79.81,79.61
2009,10,82.22,81.34,81.8
2009,11,79.17,77.62,78.45
2009,12,79.87,80.92,80.37
2009,TOTAL,81.06,78.28,79.72
2010,1,74.89,78.04,76.41
2010,2,77.35,74.44,75.96
2010,3,83.39,80.48,82.03
2010,4,82.55,79.36,81.06
2010,5,82.51,82.08,82.3
2010,6,86.32,86.08,86.21
2010,7,86.9,86.53,86.72
2010,8,85.2,85.51,85.35
2010,9,79.81,82.88,81.31
2010,10,83.32,82.38,82.86
2010,11,81.19,78.09,79.73
2010,12,80.85,80,80.44
2010,TOTAL,82.18,81.59,81.9
2011,1,76.55,76.92,76.73
2011,2,77.92,71.97,75.01
2011,3,82.7,76.66,79.81
2011,4,82.13,78.86,80.52
2011,5,84.58,82.12,83.37
2011,6,85.98,84.96,85.48
2011,7,87.14,86.05,86.6
2011,8,85.59,85.2,85.39
2011,9,81.82,81.07,81.44
2011,10,83.63,79.49,81.56
2011,11,83.48,77.67,80.66
2011,12,81.11,79.27,80.21
2011,TOTAL,82.87,80.3,81.6
2012,1,78.02,77.77,77.89
2012,2,78.9,72.53,75.75
2012,3,84.43,79.82,82.19
2012,4,83.61,80.59,82.12
2012,5,84.45,82.28,83.36
2012,6,86.62,86.91,86.77
2012,7,86.83,86.33,86.58
2012,8,86.61,86.3,86.45
2012,9,80.64,83.25,81.98
2012,10,84.23,81.28,82.75
2012,11,82.78,79.43,81.15
2012,12,81.54,80.84,81.19
2012,TOTAL,83.36,81.69,82.53
2013,1,78.89,79.17,79.03
2013,2,80.77,75.35,78.07
2013,3,84.99,82.07,83.56
2013,4,82.81,78.83,80.8
2013,5,84.84,82.78,83.79
2013,6,86.98,86.71,86.84
2013,7,86.46,86.27,86.36
2013,8,85.53,87.3,86.45
2013,9,80.85,82.72,81.83
2013,10,82.71,80.65,81.66
2013,11,80.07,77.76,78.92
2013,12,85.07,82.42,83.74
2013,TOTAL,83.47,82.1,82.77
2014,1,80.64,80.57,80.6
2014,2,82.09,75.39,78.66
2014,3,85.44,78.88,82.14
2014,4,84.89,80.09,82.41
2014,5,86.27,82.99,84.55
2014,6,87.39,84.89,86.07
2014,7,87.79,84.18,85.88
2014,8,86.9,86.21,86.53
2014,9,82.06,80.99,81.49
2014,10,84.08,78.98,81.41
2014,11,81.35,76.03,78.64
2014,12,83.45,80.16,81.76
2014,TOTAL,84.49,81.04,82.69
2015,1,79.18,79.11,79.14
2015,2,82.4,75.04,78.56
2015,3,85.75,79.25,82.44
2015,4,84.86,77.26,80.89
2015,5,85.56,81.21,83.26
2015,6,87.35,83.94,85.55
2015,7,88.13,84.88,86.39
2015,8,86.63,85.89,86.23
2015,9,83.76,80.59,82.04
2015,10,86.43,79.86,82.96
2015,11,84.18,77.48,80.75
2015,12,83.98,79.59,81.69
2015,TOTAL,84.98,80.6,82.68
2016,1,80.55,79.61,80.05
2016,2,80.83,73.28,76.89
2016,3,85.28,78.56,81.83
2016,4,84.06,77.19,80.44
2016,5,85.84,80.37,82.92
2016,6,87.6,84.19,85.79
2016,7,87.16,85.85,86.46
2016,8,84.71,84.99,84.86
2016,9,84.23,80.61,82.25
2016,10,85.39,79.16,82.06
2016,11,84.71,78.69,81.61
2016,12,83.42,80.81,82.04
2016,TOTAL,84.59,80.53,82.43
2017,1,79.46,79.82,79.65
2017,2,80.9,73.75,77.13
2017,3,85.5,77.09,81.14
2017,4,85.19,79.78,82.28
2017,5,85.71,80.05,82.66
2017,6,87.16,84.38,85.67
2017,7,86.93,85.54,86.17
2017,8,85.37,85.67,85.53
2017,9,82.17,80.35,81.16
2017,10,85.65,78.92,82.05
2017,11,85.77,79.07,82.31
2017,12,83.5,80.07,81.69
2017,TOTAL,84.57,80.64,82.47
2018,1,78.86,79.15,79.01
2018,2,81.76,75.84,78.65
2018,3,86.08,82.06,83.99
2018,4,84.33,79.58,81.8
2018,5,85.35,81.17,83.1
2018,6,87.74,86.02,86.81
2018,7,88.11,86.75,87.38
2018,8,86.19,86.16,86.17
2018,9,80.88,80.24,80.53
2018,10,84.68,79.87,82.11
2018,11,85.06,79.88,82.39
2018,12,82.76,80.59,81.62
2018,TOTAL,84.46,81.68,82.98
2019,1,79.06,80.23,79.68
2019,2,81.84,76.63,79.12
2019,3,86.45,81.49,83.9
2019,4,85.64,80.06,82.66
2019,5,87.3,83.3,85.16
2019,6,89.29,87.58,88.37
2019,7,88.99,87.23,88.05
2019,8,86.27,86.64,86.47
2019,9,82.38,81.55,81.93
2019,10,84.54,81.15,82.77
2019,11,82.03,80.94,81.48
2019,12,85.74,83.68,84.69
2019,TOTAL,85.11,82.77,83.87
2020,1,79.56,81.35,80.49
2020,2,80.76,74.3,77.59
2020,3,50.06,56.95,52.97
2020,4,13.12,28.54,16.91
2020,5,36.69,25.06,34.29
2020,6,56.16,36.07,51.48
2020,7,49.8,36.34,46.34
2020,8,49.41,36.08,45.53
2020,9,57.06,33.23,49
2020,10,60.47,34.88,51.82
2020,11,54.54,37.4,48.79
2020,12,55.63,43.48,51.23
2020,TOTAL,58.63,57.6,58.23
2021,1,52.83,41.29,48.37
2021,2,59.26,34.47,50.29
2021,3,68.49,41.45,59.81
2021,4,74.78,44.22,64.63
2021,5,80.95,49.87,70.7
2021,6,85.55,59.31,76.41
2021,7,87.93,66.47,80.28
2021,8,81.28,66.12,75.59
2021,9,75.64,55.18,67.86
2021,10,80.99,54.38,70.94
2021,11,81.41,63.82,74.69
2021,12,82.21,69.14,76.79
2021,TOTAL,77.68,56.3,69.86
2022,1,68.34,57.97,63.89
2022,2,76.71,59.52,69.72
2022,3,85.66,71.09,79.63
2022,4,87.73,75.31,82.13
2022,5,88.35,78.22,83.61
2022,6,89.96,85.63,87.87
2022,7,87.55,87.68,87.61
2022,8,85.23,83.87,84.56
2022,9,84.83,81.56,83.22
2022,10,86.7,80.55,83.77
2022,11,84.26,79.09,81.85
2022,12,83.76,81.72,82.77
2022,TOTAL,84.32,78.15,81.45
2023,1,77.13,78.14,77.61
2023,2,79.55,75.72,77.75
2023,3,84.24,81.97,83.16
2023,4,85.32,81.92,83.64
2023,5,85.76,83.81,84.79
2023,6,88.12,88.55,88.34
2023,7,88.15,88.4,88.27
2023,8,82.85,85.46,84.18
2023,9,81.56,82.79,82.19
2023,10,83.83,81.29,82.57
2023,11,82.95,79.03,81.04
2023,12,81.67,80.3,80.98
2023,TOTAL,83.53,82.58,83.06
2024,1,78.99,78.64,78.81
2024,2,80.86,75.18,78.03
2024,3,84.68,82.26,83.48
2024,4,83.3,80.17,81.72
2024,5,85.76,83.44,84.57
2024,6,87.12,87.28,87.2
2024,7,87.48,87.59,87.54
2024,8,84.9,86.14,85.53
2024,TOTAL,84.31,82.85,83.57
,,,,
,,,,
,,,,
,,,,
,,,,
